Starting training from scratch with 39-dim architecture.
Connected to Godot at 127.0.0.1:4242
Ep: 125 | Steps: 1000 | Total Reward: -30243.55 | Avg: -30.2436
Ep: 126 | Steps: 1000 | Total Reward: -27308.11 | Avg: -27.3081

--- Updating Brain (Step 52000) ---
Ep: 127 | Steps: 1000 | Total Reward: -21896.07 | Avg: -21.8961
Ep: 128 | Steps: 1000 | Total Reward: -14524.63 | Avg: -14.5246
Ep: 129 | Steps: 1000 | Total Reward: -39678.70 | Avg: -39.6787
Ep: 130 | Steps: 1000 | Total Reward: -23232.83 | Avg: -23.2328

--- Updating Brain (Step 56000) ---
Ep: 131 | Steps: 1000 | Total Reward: -13969.60 | Avg: -13.9696
Ep: 132 | Steps: 1000 | Total Reward: -23044.60 | Avg: -23.0446
Ep: 133 | Steps: 1000 | Total Reward: -20893.68 | Avg: -20.8937
Ep: 134 | Steps: 1000 | Total Reward: -30694.62 | Avg: -30.6946

--- Updating Brain (Step 60000) ---
Ep: 135 | Steps: 1000 | Total Reward: -28326.34 | Avg: -28.3263
Ep: 136 | Steps: 1000 | Total Reward: -13422.58 | Avg: -13.4226
Ep: 137 | Steps: 1000 | Total Reward: -12931.25 | Avg: -12.9313
Ep: 138 | Steps: 1000 | Total Reward: -14710.12 | Avg: -14.7101

--- Updating Brain (Step 64000) ---
Ep: 139 | Steps: 1000 | Total Reward: -19653.57 | Avg: -19.6536
Ep: 140 | Steps: 1000 | Total Reward: -15478.73 | Avg: -15.4787
Ep: 141 | Steps: 1000 | Total Reward: -20894.87 | Avg: -20.8949
Ep: 142 | Steps: 1000 | Total Reward: -32617.59 | Avg: -32.6176

--- Updating Brain (Step 68000) ---
Ep: 143 | Steps: 1000 | Total Reward: -17233.80 | Avg: -17.2338
Ep: 144 | Steps: 1000 | Total Reward: -21951.21 | Avg: -21.9512
Ep: 145 | Steps: 1000 | Total Reward: -38062.29 | Avg: -38.0623
Ep: 146 | Steps: 1000 | Total Reward: -16646.81 | Avg: -16.6468

--- Updating Brain (Step 72000) ---
Ep: 147 | Steps: 1000 | Total Reward: -14977.86 | Avg: -14.9779
Ep: 148 | Steps: 1000 | Total Reward: -17067.21 | Avg: -17.0672
Ep: 149 | Steps: 1000 | Total Reward: -29811.16 | Avg: -29.8112
Ep: 150 | Steps: 1000 | Total Reward: -26112.36 | Avg: -26.1124
Ep: 151 | Steps: 404 | Total Reward: -41648.03 | Avg: -103.0892

--- Updating Brain (Step 76000) ---
Ep: 152 | Steps: 1000 | Total Reward: -50154.11 | Avg: -50.1541
Ep: 153 | Steps: 1000 | Total Reward: -14118.23 | Avg: -14.1182
Ep: 154 | Steps: 1000 | Total Reward: -13216.22 | Avg: -13.2162
Ep: 155 | Steps: 1000 | Total Reward: -22419.46 | Avg: -22.4195

--- Updating Brain (Step 80000) ---
Ep: 156 | Steps: 1000 | Total Reward: -11013.52 | Avg: -11.0135
Ep: 157 | Steps: 1000 | Total Reward: -13691.55 | Avg: -13.6916
Ep: 158 | Steps: 1000 | Total Reward: -19777.90 | Avg: -19.7779
Ep: 159 | Steps: 1000 | Total Reward: -16346.85 | Avg: -16.3468

--- Updating Brain (Step 84000) ---
Ep: 160 | Steps: 1000 | Total Reward: -18872.73 | Avg: -18.8727
Ep: 161 | Steps: 1000 | Total Reward: -17567.69 | Avg: -17.5677
Ep: 162 | Steps: 1000 | Total Reward: -15194.09 | Avg: -15.1941
Ep: 163 | Steps: 1000 | Total Reward: -36435.37 | Avg: -36.4354

--- Updating Brain (Step 88000) ---
Ep: 164 | Steps: 1000 | Total Reward: -11968.62 | Avg: -11.9686
Ep: 165 | Steps: 1000 | Total Reward: -22199.31 | Avg: -22.1993
Ep: 166 | Steps: 1000 | Total Reward: -10971.96 | Avg: -10.9720
Ep: 167 | Steps: 1000 | Total Reward: -17779.03 | Avg: -17.7790

--- Updating Brain (Step 92000) ---
Ep: 168 | Steps: 1000 | Total Reward: -30782.04 | Avg: -30.7820
Ep: 169 | Steps: 1000 | Total Reward: -35084.79 | Avg: -35.0848
Ep: 170 | Steps: 1000 | Total Reward: -14604.93 | Avg: -14.6049
Ep: 171 | Steps: 1000 | Total Reward: -25828.46 | Avg: -25.8285

--- Updating Brain (Step 96000) ---
Ep: 172 | Steps: 1000 | Total Reward: -34890.15 | Avg: -34.8901
Ep: 173 | Steps: 1000 | Total Reward: -14606.63 | Avg: -14.6066
Ep: 174 | Steps: 1000 | Total Reward: -18936.31 | Avg: -18.9363
Ep: 175 | Steps: 1000 | Total Reward: -39666.88 | Avg: -39.6669

--- Updating Brain (Step 100000) ---
Ep: 176 | Steps: 1000 | Total Reward: -18114.77 | Avg: -18.1148
Ep: 177 | Steps: 1000 | Total Reward: -11288.37 | Avg: -11.2884
Ep: 178 | Steps: 1000 | Total Reward: -14592.68 | Avg: -14.5927
Ep: 179 | Steps: 1000 | Total Reward: -21277.62 | Avg: -21.2776

--- Updating Brain (Step 104000) ---
Ep: 180 | Steps: 1000 | Total Reward: -19310.88 | Avg: -19.3109
Ep: 181 | Steps: 1000 | Total Reward: -15928.59 | Avg: -15.9286
Ep: 182 | Steps: 1000 | Total Reward: -16312.68 | Avg: -16.3127
Ep: 183 | Steps: 1000 | Total Reward: -19933.33 | Avg: -19.9333

--- Updating Brain (Step 108000) ---
Ep: 184 | Steps: 1000 | Total Reward: -25740.70 | Avg: -25.7407
Ep: 185 | Steps: 1000 | Total Reward: -19127.58 | Avg: -19.1276
Ep: 186 | Steps: 1000 | Total Reward: -17400.52 | Avg: -17.4005
Ep: 187 | Steps: 1000 | Total Reward: -16674.75 | Avg: -16.6747

--- Updating Brain (Step 112000) ---
Ep: 188 | Steps: 487 | Total Reward: -27361.13 | Avg: -56.1830
Ep: 189 | Steps: 47 | Total Reward: -4555.22 | Avg: -96.9196
Ep: 190 | Steps: 29 | Total Reward: -2626.60 | Avg: -90.5725
Ep: 191 | Steps: 19 | Total Reward: -202.16 | Avg: -10.6398
Ep: 192 | Steps: 60 | Total Reward: -344.57 | Avg: -5.7429
Ep: 193 | Steps: 32 | Total Reward: -252.58 | Avg: -7.8932
Ep: 194 | Steps: 1000 | Total Reward: -31793.65 | Avg: -31.7937
Ep: 195 | Steps: 1000 | Total Reward: -14336.82 | Avg: -14.3368
Ep: 196 | Steps: 1000 | Total Reward: -16406.91 | Avg: -16.4069

--- Updating Brain (Step 116000) ---
Ep: 197 | Steps: 1000 | Total Reward: -14665.94 | Avg: -14.6659
Ep: 198 | Steps: 1000 | Total Reward: -18393.04 | Avg: -18.3930
Ep: 199 | Steps: 1000 | Total Reward: -19140.83 | Avg: -19.1408
Ep: 200 | Steps: 1000 | Total Reward: -16492.84 | Avg: -16.4928

--- Updating Brain (Step 120000) ---
Ep: 201 | Steps: 1000 | Total Reward: -16527.39 | Avg: -16.5274
Ep: 202 | Steps: 1000 | Total Reward: -11451.53 | Avg: -11.4515
Ep: 203 | Steps: 1000 | Total Reward: -13349.57 | Avg: -13.3496
Ep: 204 | Steps: 1000 | Total Reward: -20288.33 | Avg: -20.2883

--- Updating Brain (Step 124000) ---
Ep: 205 | Steps: 1000 | Total Reward: -11789.27 | Avg: -11.7893
Ep: 206 | Steps: 1000 | Total Reward: -12364.48 | Avg: -12.3645
Ep: 207 | Steps: 1000 | Total Reward: -17438.22 | Avg: -17.4382
Ep: 208 | Steps: 1000 | Total Reward: -14911.54 | Avg: -14.9115

--- Updating Brain (Step 128000) ---
Ep: 209 | Steps: 1000 | Total Reward: -12182.57 | Avg: -12.1826
Step Error: [WinError 10054] An existing connection was forcibly closed by the remote host
Ep: 210 | Steps: 542 | Total Reward: -6123.59 | Avg: -11.2981
Connected to Godot at 127.0.0.1:4242
Ep: 211 | Steps: 1000 | Total Reward: -25572.46 | Avg: -25.5725
